genre,ratings_count
Comedy|Crime|Horror,5
Action|Adventure|Animation|Horror|SciFi,5
Adventure|Children's|Fantasy|SciFi,5
Action|Comedy|Musical,5
Drama|Musical|War,5
Action|Drama|Thriller|War,5
Animation|Children's|Fantasy|Musical,5
Crime|Horror,5
Action|Adventure|Horror|Thriller,5
Adventure|Animation|Children's,5
Action|Children's|Fantasy,5
Adventure|Drama|Thriller,5
Action|Comedy|Crime|Horror|Thriller,4
Action|Adventure|Fantasy|SciFi,4
Action|SciFi|War,4
FilmNoir|Romance|Thriller,4
Action|Adventure|Drama|SciFi|War,4
Mystery|SciFi,4
Adventure|Animation|SciFi|Thriller,4
Action|Drama|Romance,4
Comedy|Drama|Musical,4
Adventure|Animation|Children's|Comedy|Musical,4
Action|Mystery|SciFi|Thriller,4
Action|Adventure|SciFi|War,4
Drama|Romance|Thriller,4
Comedy|Crime|Mystery|Thriller,4
FilmNoir|Mystery|Thriller,4
Documentary|Musical,4
Children's|SciFi,4
Children's|Fantasy|SciFi,4
Action|Adventure|SciFi|Thriller|War,4
Comedy|Horror|Musical,4
Adventure|Thriller,4
Musical|Romance|War,4
Comedy|Drama|SciFi,4
Adventure|Drama|Romance|SciFi,4
Action|Adventure|Drama|Romance,3
Comedy|Romance|War,3
Comedy|Mystery|Romance,3
Children's|Comedy|Musical,3
Adventure|Animation|Children's|Comedy|Fantasy,3
Comedy|Fantasy|Romance|SciFi,3
Crime|FilmNoir|Mystery,3
Adventure|Children's|Comedy|Fantasy,3
Action|Animation|Children's|SciFi|Thriller|War,3
Action|Adventure|Romance|SciFi|War,3
Action|Drama|Mystery|Romance|Thriller,3
Comedy|Mystery|Thriller,3
Documentary|War,3
Action|Adventure|Children's,3
Action|Adventure|Children's|Fantasy,3
Crime|Horror|Mystery|Thriller,3
Mystery|SciFi|Thriller,3
Children's|Fantasy|Musical,3
Children's|Comedy|SciFi,3
Adventure|Animation|Children's|SciFi,3
Action|Crime|Mystery|Thriller,3
Adventure|Fantasy|SciFi,3
Drama|FilmNoir|Thriller,3
Action|Adventure|Horror,3
Action|SciFi|Thriller|Western,3
Action|SciFi|Western,3
Action|Horror|Thriller,3
Adventure|Animation|FilmNoir,3
Adventure|Comedy|SciFi,3
Romance|Western,3
Adventure|Fantasy|Romance,3
Adventure|Crime|SciFi|Thriller,3
Animation|Children's|Musical|Romance,2
Adventure|Children's|Comedy|Musical,2
Action|Adventure|Mystery|SciFi,2
Crime|Drama|Romance|Thriller,2
Action|Adventure|Western,2
Adventure|Children's|Romance,2
Comedy|Crime|Fantasy,2
FilmNoir|SciFi,2
Action|Adventure|Children's|SciFi,2
Action|Adventure|Animation|Children's|Fantasy,2
Adventure|Drama|Western,2
Action|Adventure|Crime|Drama,2
SciFi|War,2
Fantasy,2
Adventure|Children's|Drama|Musical,2
Drama|Mystery|SciFi|Thriller,2
Children's|Comedy|Western,2
Adventure|Animation|Children's|Musical,2
Adventure|Children's|Musical,2
Children's|Drama|Fantasy|SciFi,2
Action|SciFi|Thriller|War,2
Action|Adventure|Comedy|SciFi,2
FilmNoir|SciFi|Thriller,2
Crime|Drama|Mystery|Thriller,2
Adventure|Animation|Children's|Fantasy,2
Adventure|Children's|Drama|Romance,2
Adventure|Comedy|Musical,2
Children's|Horror,2
Comedy|Fantasy|Romance,2
Adventure|Musical,2
Drama|Thriller|War,2
Action|Comedy|Fantasy,2
SciFi|Thriller|War,2
Action|Adventure|Drama|Thriller,2
Action|Comedy|Romance|Thriller,2
Animation|SciFi,2
Crime|Mystery,2
Horror|Mystery,2
Drama|Romance|Western,2
Dramma,2
Action|Adventure|War,2
Comedy|Horror|SciFi,2
Adventure|Animation|SciFi,2
Comedy||Horror,2
Animation|Children's|Comedy|Romance,1
Drama|Romance|War|Western,1
Action|Adventure|Crime|Thriller,1
Action|Adventure|Mystery,1
Action|Adventure|Romance|War,1
Action|Drama|Western,1
Adventure|Comedy|Drama,1
Action|Romance|War,1
Children's|Fantasy,1
Action|Mystery|Romance|Thriller,1
Action|Crime|Mystery,1
Action|Drama|SciFi|Thriller,1
Action|Comedy|Crime,1
Comedy|SciFi|Western,1
Fantasy|SciFi,1
Adventure|Children's|Comedy|Fantasy|SciFi,1
Comedy|FilmNoir|Thriller,1
Comedy|Horror|Musical|SciFi,1
Action|Comedy|SciFi|Thriller,1
Animation|Mystery,1
Adventure|Romance|SciFi,1
Crime|Drama|FilmNoir|Thriller,1
Adventure|Fantasy,1
Musical|War,1
Adventure|Musical|Romance,1
Action|Romance|SciFi,1
Drama|FilmNoir,1
Action|Adventure|Romance|Thriller,1
Action|Comedy|War,1
