User_ID,Age,Gender,Country,Subscription_Status,Total_WatchTime,Device
SF_294,23,FEMALE,FRANCE,Subscriber,39,Mobile
SF_295,9,MALE,ITALY,Subscriber,181,Mobile
SF_296,43,MALE,CANADA,Subscriber,406,Mobile
SF_297,51,MALE,FRANCE,Free,429,Desktop
SF_298,60,FEMALE,FRANCE,Subscriber,53,Tablet
SF_299,59,MALE,UK,Free,18,Tablet
SF_300,43,MALE,INDIA,Subscriber,359,Tablet
SF_301,36,MALE,ITALY,Subscriber,490,Mobile
SF_302,35,MALE,ITALY,Subscriber,129,Mobile
SF_303,37,MALE,INDIA,Free,417,Mobile
SF_304,15,MALE,ITALY,Free,106,Desktop
SF_305,37,FEMALE,CANADA,Free,53,Tablet
SF_306,34,MALE,ITALY,Free,236,Mobile
SF_307,41,MALE,FRANCE,Subscriber,462,Tablet
SF_308,38,MALE,FRANCE,Free,258,Desktop
SF_309,42,MALE,FRANCE,Free,62,Mobile
SF_310,23,FEMALE,USA,Subscriber,114,Tablet
SF_311,61,MALE,CANADA,Free,346,Tablet
SF_312,50,FEMALE,FRANCE,Subscriber,344,Smart TV
SF_313,22,FEMALE,INDIA,Free,476,Tablet
SF_314,20,FEMALE,USA,Free,38,Smart TV
SF_315,15,FEMALE,CANADA,Free,227,Tablet
SF_316,45,MALE,FRANCE,Subscriber,427,Mobile
SF_317,11,MALE,ITALY,Free,137,Smart TV
SF_318,13,FEMALE,USA,Subscriber,254,Tablet
SF_319,9,FEMALE,UK,Subscriber,255,Mobile
SF_320,21,MALE,FRANCE,Subscriber,124,Smart TV
SF_321,15,MALE,CANADA,Free,455,Smart TV
SF_322,31,MALE,USA,Free,482,Smart TV
SF_323,13,MALE,ITALY,Free,368,Desktop
SF_324,36,MALE,UK,Free,34,Mobile
SF_325,64,FEMALE,USA,Subscriber,419,Mobile
SF_326,35,MALE,UK,Subscriber,281,Tablet
SF_327,34,MALE,UK,Free,479,Mobile
SF_328,27,MALE,INDIA,Subscriber,91,Smart TV
SF_329,22,MALE,ITALY,Subscriber,244,Tablet
SF_330,25,MALE,ITALY,Free,341,Mobile
SF_331,46,MALE,FRANCE,Free,174,Mobile
SF_332,11,MALE,USA,Subscriber,318,Desktop
SF_333,60,MALE,CANADA,Subscriber,298,Mobile
SF_334,18,FEMALE,CANADA,Free,457,Smart TV
SF_335,55,MALE,FRANCE,Free,237,Desktop
SF_336,58,MALE,UK,Free,184,Smart TV
SF_337,30,MALE,CANADA,Free,185,Mobile
SF_338,29,MALE,INDIA,Free,282,Mobile
SF_339,60,MALE,ITALY,Subscriber,52,Mobile
SF_340,32,FEMALE,USA,Subscriber,27,Mobile
SF_341,28,FEMALE,USA,Subscriber,408,Smart TV
SF_342,54,MALE,CANADA,Free,180,Smart TV
SF_343,55,FEMALE,CANADA,Subscriber,277,Desktop
SF_344,21,MALE,FRANCE,Subscriber,30,Desktop
SF_345,45,MALE,USA,Subscriber,82,Mobile
SF_346,52,FEMALE,FRANCE,Free,249,Desktop
SF_347,30,FEMALE,USA,Free,251,Desktop
SF_348,43,MALE,USA,Subscriber,490,Mobile
SF_349,50,MALE,ITALY,Free,21,Tablet
SF_350,21,MALE,INDIA,Free,132,Smart TV
SF_351,30,MALE,UK,Subscriber,399,Desktop
SF_352,40,MALE,FRANCE,Subscriber,340,Desktop
SF_353,55,FEMALE,FRANCE,Free,411,Desktop
SF_354,16,MALE,ITALY,Subscriber,387,Smart TV
SF_355,42,MALE,FRANCE,Free,56,Smart TV
SF_356,58,MALE,USA,Subscriber,300,Desktop
SF_357,49,MALE,CANADA,Free,140,Mobile
SF_358,15,FEMALE,FRANCE,Subscriber,367,Tablet
SF_359,17,MALE,UK,Free,434,Smart TV
SF_360,13,MALE,INDIA,Free,438,Mobile
SF_361,62,FEMALE,CANADA,Subscriber,478,Desktop
SF_362,32,MALE,ITALY,Subscriber,128,Desktop
SF_363,35,MALE,CANADA,Free,76,Mobile
SF_364,25,FEMALE,CANADA,Subscriber,381,Desktop
SF_365,50,FEMALE,CANADA,Subscriber,406,Tablet
SF_366,47,MALE,CANADA,Subscriber,342,Mobile
SF_367,15,MALE,FRANCE,Free,26,Smart TV
SF_368,59,MALE,CANADA,Subscriber,500,Smart TV
SF_369,35,MALE,ITALY,Free,459,Mobile
SF_370,37,MALE,UK,Subscriber,425,Tablet
SF_371,52,MALE,FRANCE,Free,158,Mobile
SF_372,11,FEMALE,FRANCE,Subscriber,269,Desktop
SF_373,10,FEMALE,ITALY,Free,140,Tablet
SF_374,13,FEMALE,FRANCE,Free,45,Desktop
SF_375,45,MALE,FRANCE,Subscriber,314,Tablet
SF_376,37,MALE,ITALY,Subscriber,77,Desktop
SF_377,23,MALE,UK,Subscriber,324,Mobile
SF_378,46,FEMALE,FRANCE,Subscriber,231,Smart TV
SF_379,44,FEMALE,FRANCE,Subscriber,430,Desktop
SF_380,13,MALE,CANADA,Subscriber,466,Tablet
SF_381,64,MALE,UK,Free,296,Smart TV
SF_382,22,FEMALE,USA,Subscriber,372,Tablet
SF_383,25,FEMALE,ITALY,Free,212,Desktop
SF_384,26,MALE,USA,Subscriber,312,Tablet
SF_385,19,MALE,CANADA,Free,291,Mobile
SF_386,48,MALE,UK,Subscriber,383,Smart TV
SF_387,27,FEMALE,INDIA,Subscriber,241,Smart TV
SF_388,17,FEMALE,UK,Free,252,Tablet
SF_389,11,MALE,FRANCE,Subscriber,383,Smart TV
SF_390,15,MALE,ITALY,Free,239,Tablet
SF_391,36,MALE,ITALY,Free,97,Smart TV
SF_392,40,MALE,UK,Subscriber,65,Tablet
SF_393,16,MALE,FRANCE,Free,487,Smart TV
SF_394,34,MALE,ITALY,Subscriber,262,Tablet
SF_395,9,MALE,INDIA,Free,101,Tablet
SF_396,48,MALE,ITALY,Subscriber,477,Desktop
SF_397,27,MALE,UK,Subscriber,361,Mobile
SF_398,45,MALE,UK,Subscriber,82,Smart TV
SF_399,39,FEMALE,CANADA,Free,168,Desktop
SF_400,44,FEMALE,CANADA,Subscriber,327,Desktop
SF_401,20,MALE,FRANCE,Free,361,Tablet
SF_402,16,MALE,CANADA,Free,491,Desktop
SF_403,14,MALE,ITALY,Subscriber,473,Tablet
SF_404,31,MALE,UK,Free,19,Desktop
SF_405,28,MALE,INDIA,Subscriber,32,Desktop
SF_406,55,MALE,ITALY,Free,139,Mobile
SF_407,58,MALE,UK,Free,88,Desktop
SF_408,21,MALE,CANADA,Subscriber,31,Mobile
SF_409,52,MALE,ITALY,Subscriber,481,Mobile
SF_410,35,FEMALE,ITALY,Subscriber,30,Desktop
SF_411,18,FEMALE,CANADA,Subscriber,81,Smart TV
SF_412,11,MALE,FRANCE,Free,362,Desktop
SF_413,50,MALE,USA,Subscriber,70,Mobile
SF_414,58,MALE,FRANCE,Free,331,Smart TV
SF_415,21,FEMALE,UK,Free,103,Desktop
SF_416,23,MALE,USA,Free,351,Tablet
SF_417,27,FEMALE,INDIA,Free,38,Tablet
SF_418,50,FEMALE,ITALY,Free,354,Tablet
SF_419,49,MALE,USA,Subscriber,237,Mobile
SF_420,49,MALE,UK,Free,454,Tablet
SF_421,36,FEMALE,ITALY,Free,251,Desktop
SF_422,54,MALE,ITALY,Free,366,Smart TV
SF_423,29,MALE,FRANCE,Free,393,Mobile
SF_424,19,MALE,USA,Free,107,Desktop
SF_425,39,MALE,USA,Subscriber,229,Tablet
SF_426,9,MALE,ITALY,Free,459,Desktop
SF_427,52,MALE,UK,Subscriber,11,Smart TV
SF_428,34,FEMALE,INDIA,Free,160,Desktop
SF_429,30,MALE,CANADA,Free,308,Desktop
SF_430,22,FEMALE,USA,Subscriber,325,Desktop
SF_431,42,MALE,ITALY,Free,428,Mobile
SF_432,51,MALE,FRANCE,Subscriber,248,Mobile
SF_433,18,MALE,FRANCE,Subscriber,10,Tablet
SF_434,31,FEMALE,INDIA,Free,371,Desktop
SF_435,40,MALE,USA,Subscriber,433,Smart TV
SF_436,40,MALE,CANADA,Free,362,Mobile
SF_437,32,MALE,ITALY,Subscriber,37,Tablet
SF_438,34,MALE,FRANCE,Free,190,Tablet
SF_439,56,MALE,CANADA,Subscriber,400,Tablet
SF_440,60,MALE,CANADA,Free,234,Mobile
SF_441,63,MALE,USA,Free,388,Desktop
SF_442,40,MALE,CANADA,Free,417,Mobile
SF_443,35,MALE,CANADA,Subscriber,444,Smart TV
SF_444,46,MALE,CANADA,Free,210,Desktop
SF_445,57,MALE,FRANCE,Subscriber,23,Mobile
SF_446,35,FEMALE,ITALY,Subscriber,441,Smart TV
SF_447,13,FEMALE,USA,Subscriber,256,Desktop
SF_448,65,MALE,ITALY,Free,96,Desktop
SF_449,13,MALE,INDIA,Free,462,Desktop
SF_450,61,MALE,USA,Free,451,Mobile
SF_451,57,MALE,CANADA,Subscriber,242,Tablet
SF_452,24,MALE,USA,Free,252,Desktop
SF_453,49,MALE,INDIA,Free,406,Mobile
SF_454,18,MALE,FRANCE,Subscriber,214,Smart TV
SF_455,33,FEMALE,ITALY,Subscriber,442,Tablet
SF_456,45,MALE,USA,Subscriber,476,Tablet
SF_457,34,MALE,FRANCE,Free,172,Smart TV
SF_458,52,MALE,FRANCE,Subscriber,317,Mobile
SF_459,22,FEMALE,ITALY,Free,326,Smart TV
SF_460,39,MALE,USA,Free,177,Mobile
SF_461,25,MALE,CANADA,Free,163,Desktop
SF_462,65,MALE,ITALY,Subscriber,405,Tablet
SF_463,41,MALE,CANADA,Free,157,Mobile
SF_464,43,FEMALE,UK,Free,358,Tablet
SF_465,33,MALE,CANADA,Subscriber,356,Tablet
SF_466,59,MALE,INDIA,Free,390,Tablet
SF_467,24,FEMALE,CANADA,Subscriber,17,Tablet
SF_468,54,FEMALE,FRANCE,Subscriber,213,Desktop
SF_469,16,MALE,CANADA,Free,473,Tablet
SF_470,61,FEMALE,UK,Free,489,Smart TV
SF_471,38,MALE,FRANCE,Subscriber,142,Tablet
SF_472,16,MALE,USA,Subscriber,93,Tablet
SF_473,38,FEMALE,USA,Subscriber,320,Smart TV
SF_474,32,MALE,UK,Subscriber,85,Smart TV
SF_475,41,FEMALE,ITALY,Free,278,Tablet
SF_476,12,MALE,USA,Subscriber,492,Mobile
SF_477,40,MALE,ITALY,Free,42,Smart TV
SF_478,36,MALE,UK,Free,91,Mobile
SF_479,51,MALE,UK,Free,274,Desktop
SF_480,54,FEMALE,UK,Free,430,Mobile
SF_481,51,MALE,UK,Free,325,Desktop
SF_482,40,MALE,INDIA,Subscriber,452,Mobile
SF_483,22,MALE,INDIA,Free,301,Tablet
SF_484,37,FEMALE,USA,Subscriber,134,Smart TV
SF_485,58,MALE,FRANCE,Subscriber,395,Mobile
SF_486,58,MALE,INDIA,Subscriber,193,Mobile
SF_487,21,FEMALE,USA,Free,308,Mobile
SF_488,53,MALE,CANADA,Subscriber,247,Mobile
SF_489,64,MALE,UK,Free,136,Smart TV
SF_490,11,MALE,INDIA,Subscriber,393,Tablet
SF_491,64,MALE,USA,Free,244,Tablet
SF_492,28,MALE,INDIA,Free,215,Smart TV
SF_493,11,MALE,UK,Free,105,Mobile
SF_494,36,FEMALE,UK,Subscriber,263,Mobile
SF_495,27,MALE,USA,Subscriber,81,Mobile
SF_496,9,MALE,USA,Subscriber,284,Smart TV
SF_497,29,FEMALE,FRANCE,Subscriber,384,Mobile
SF_498,35,MALE,ITALY,Free,99,Mobile
SF_499,12,FEMALE,INDIA,Free,376,Smart TV
SF_500,28,FEMALE,INDIA,Subscriber,35,Tablet
