genre,number_of_movies
Adventure|Children's|Fantasy|SciFi,3
Action|Romance,3
Crime|Drama|FilmNoir,3
Action|Horror|SciFi|Thriller,3
FilmNoir|Mystery|Thriller,3
Horror|Romance,3
Crime|Drama|Mystery,3
Drama|SciFi|Thriller,3
Drama|Fantasy,3
Comedy|Crime|Thriller,3
Animation|Musical,3
Comedy|Horror|Thriller,3
Comedy|Drama|Western,3
Adventure|Comedy|SciFi,3
Action|Children's|Fantasy,3
Action|Adventure|Romance,2
Drama|Thriller|War,2
Crime|FilmNoir|Mystery|Thriller,2
Crime|Drama|Romance|Thriller,2
Drama|Mystery|Thriller,2
Action|Comedy|War,2
Children's|Comedy|Musical,2
Dramma,2
Action|Adventure|Mystery,2
Animation,2
Action|Adventure|Romance|Thriller,2
Animation|Comedy|Thriller,2
Action|SciFi|War,2
Children's|Drama|Fantasy,2
Comedy|Mystery|Romance|Thriller,2
FilmNoir|Mystery,2
Children's|Comedy|Western,2
Children's|Comedy|Mystery,2
Adventure|Animation|Children's|Musical,2
Adventure|Children's|Comedy|Fantasy,2
Adventure|Western,2
Action|Western,2
Action|Comedy|Musical,2
Mystery|SciFi,2
Action|Drama|Romance,2
Crime|Drama|SciFi,2
Adventure|Thriller,2
Comedy|Drama|Thriller,2
Drama|Romance|Thriller,2
Adventure|SciFi|Thriller,2
Documentary|Musical,2
Action|Crime|Drama|Thriller,2
Children's|Comedy|SciFi,2
Action|Adventure|Children's|Comedy,2
Adventure|Children's|SciFi,2
Animation|Children's|Comedy|Musical|Romance,2
Children's|Musical,2
Adventure|Fantasy|Romance,2
Crime|Horror,2
Adventure|Fantasy|SciFi,2
Adventure|Animation|Children's,2
Adventure|Drama|Romance,2
Action|Drama|Romance|Thriller,2
Action|Adventure|War,2
Animation|Children's|Musical|Romance,1
Action|Comedy|Crime|Horror|Thriller,1
Adventure|Children's|Comedy|Musical,1
Action|Adventure|Mystery|SciFi,1
Action|Adventure|Drama|Romance,1
Animation|Children's|Comedy|Romance,1
Drama|Fantasy|Romance|Thriller,1
Adventure|Children's|Comedy|Fantasy|Romance,1
Drama|Romance|War|Western,1
Action|Adventure|Western,1
Action|Comedy|Musical|SciFi,1
Comedy|Romance|War,1
Adventure|Children's|Romance,1
Comedy|Crime|Fantasy,1
Action|Adventure|Crime|Thriller,1
Comedy|Mystery|Romance,1
Action|Drama|Mystery,1
Comedy|Crime|Horror,1
FilmNoir|SciFi,1
Action|Adventure|Children's|SciFi,1
Action|Adventure|Animation|Children's|Fantasy,1
Adventure|Drama|Western,1
Action|Adventure|Crime|Drama,1
Action|Adventure|Animation|Horror|SciFi,1
Adventure|Animation|Children's|Comedy|Fantasy,1
Action|Adventure|Comedy|War,1
SciFi|War,1
Comedy|Fantasy|Romance|SciFi,1
Fantasy,1
Adventure|Children's|Drama|Musical,1
Drama|Mystery|SciFi|Thriller,1
FilmNoir|Romance|Thriller,1
Crime|FilmNoir|Mystery,1
Action|Adventure|Romance|War,1
Action|Drama|Western,1
Adventure|Children's|Musical,1
Children's|Drama|Fantasy|SciFi,1
Action|Adventure|Drama|SciFi|War,1
Action|SciFi|Thriller|War,1
Action|Animation|Children's|SciFi|Thriller|War,1
Action|Adventure|Romance|SciFi|War,1
Action|Adventure|Comedy|Horror|SciFi,1
Adventure|Comedy|Drama,1
Action|Adventure|Comedy|Horror,1
Action|Drama|Mystery|Romance|Thriller,1
Comedy|Mystery|Thriller,1
Adventure|Animation|SciFi|Thriller,1
Comedy|Drama|Musical,1
Documentary|War,1
Drama|Musical|War,1
Action|Comedy|SciFi|War,1
Action|Romance|War,1
Action|Drama|Thriller|War,1
Action|Adventure|Children's,1
Action|Adventure|Children's|Fantasy,1
Adventure|Animation|Children's|Comedy|Musical,1
Action|Adventure|Comedy|SciFi,1
Children's|Fantasy,1
Action|Mystery|SciFi|Thriller,1
Action|Mystery|Romance|Thriller,1
Action|Thriller|War,1
Action|Crime|Mystery,1
Crime|Horror|Mystery|Thriller,1
Action|Adventure|SciFi|War,1
Comedy|Crime|Drama|Mystery,1
Comedy|Crime|Mystery|Thriller,1
FilmNoir|SciFi|Thriller,1
Crime|Drama|Mystery|Thriller,1
Action|Drama|SciFi|Thriller,1
Adventure|Animation|Children's|Fantasy,1
Adventure|Comedy|Romance,1
Mystery|SciFi|Thriller,1
Action|Comedy|Crime,1
Animation|Children's|Fantasy|War,1
Comedy|SciFi|Western,1
Children's|Fantasy|Musical,1
Fantasy|SciFi,1
Adventure|Children's|Drama|Romance,1
Adventure|Children's|Comedy|Fantasy|SciFi,1
Animation|Children's|Fantasy|Musical,1
Adventure|Comedy|Musical,1
Children's|SciFi,1
Children's|Horror,1
Comedy|Fantasy|Romance,1
Adventure|Animation|Children's|SciFi,1
Action|Crime|Mystery|Thriller,1
Adventure|Musical,1
Animation|Children's|Drama|Fantasy,1
Children's|Fantasy|SciFi,1
Drama|FilmNoir|Thriller,1
Action|Comedy|Fantasy,1
SciFi|Thriller|War,1
Action|Adventure|SciFi|Thriller|War,1
Action|Adventure|Drama|Thriller,1
Crime|Horror|Thriller,1
Action|Comedy|Romance|Thriller,1
Drama|Horror|Thriller,1
Action|SciFi|Thriller|Western,1
Drama|Romance|SciFi,1
Action|Adventure|Horror|Thriller,1
Comedy|FilmNoir|Thriller,1
Comedy|Horror|Musical|SciFi,1
Comedy|Romance|SciFi,1
Action|Comedy|SciFi|Thriller,1
Action|SciFi|Western,1
Comedy|Horror|Musical,1
Crime|Mystery,1
Animation|Mystery,1
Action|Horror|Thriller,1
Action|Drama|Fantasy|Romance,1
Horror|Mystery,1
Musical|Romance|War,1
Adventure|Animation|FilmNoir,1
Action|Adventure|Animation,1
Drama|Romance|Western,1
Comedy|Drama|SciFi,1
Adventure|Romance|SciFi,1
FilmNoir|Horror,1
Crime|Drama|FilmNoir|Thriller,1
Romance|Western,1
Adventure|Drama|Thriller,1
Adventure|Fantasy,1
Musical|War,1
Adventure|Musical|Romance,1
Action|Romance|SciFi,1
Drama|FilmNoir,1
Comedy|Horror|SciFi,1
Adventure|Drama|Romance|SciFi,1
Adventure|Animation|SciFi,1
Adventure|Crime|SciFi|Thriller,1
Comedy||Horror,1
